Class	Gene	LocusTag	t0	t1	t2	t	t4	t5	t6	t7	t8	g135	g150	g180
A	cheA	BSU16430	0	-0.49583978	-2.074811277	-3.553310905	-4.170116606	-4.782991079	-4.903605412	-5.399316482	-5.570961649	-2.545568898	-1.779778193	-2.419406567
A	cheB	BSU16420	0	-0.53638792	-2.177150747	-3.796283832	-4.431851614	-4.833265369	-5.045342279	-5.293717661	-5.414527946	-2.43789867	-1.7123759	-2.326265243
A	cheC	BSU16450	0	-0.935302603	-2.221143867	-3.774835565	-4.425901983	-4.821579926	-5.031704193	-5.354551921	-5.436627014	-2.515725342	-1.732064003	-2.410448946
A	cheD	BSU16460	0	-0.750667283	-2.077922427	-3.826494175	-4.418889466	-4.86863581	-5.14315415	-5.502268152	-5.512801734	-2.478930355	-1.882052845	-2.431019327
A	cheW	BSU16440	0	-0.661914127	-2.125360473	-3.642086991	-4.185859482	-4.742737549	-5.000839449	-5.460453534	-5.674066978	-2.549665863	-1.853801738	-2.517316483
A	cheY	BSU16330	0	-0.13629343	-2.082589717	-3.431762701	-3.814177943	-4.517958365	-4.631432714	-4.978012887	-5.881148265	-2.844070758	-2.102218158	-2.77139616
A	comZ	BSU11310	0	-0.97190917	-1.140532713	-1.476135257	-1.474132843	-2.12117894	-2.557003535	-1.76583278	-1.078423175	0.32191939	0.01376214	0.476530107
A	divIVA	BSU15420	0	0.799687857	0.644905577	-0.165402107	-0.648690273	-1.11604684	-1.903942213	-1.10623829	-2.236809324	0.523921995	0.34687943	0.553949687
A	dltA	BSU38500	0	-1.309090087	-3.2075373	-4.222634078	-4.707046903	-4.305585503	-3.043228624	-3.940699259	-3.82211419	0.355066665	0.732041945	0.47641078
A	dltB	BSU38510	0	-1.624522923	-3.691461833	-5.087667535	-5.881633087	-5.591105082	-4.638420199	-5.445698143	-5.092431848	0.182077818	0.476292128	0.17785254
A	dltC	BSU38520	0	-1.897221067	-4.024161587	-5.493595911	-6.258731227	-6.444700992	-5.553842194	-6.657069021	-6.415268588	0.068238475	0.378338475	0.119028873
A	dltD	BSU38530	0	-2.17049715	-4.1471539	-5.695977509	-6.474556629	-6.556574101	-5.92624622	-6.727230792	-6.220462886	0.034002172	0.289874107	0.049877323
A	dltE	BSU38540	0	-2.25937509	-3.917463197	-4.527704334	-4.19192887	-3.92578674	-3.83791685	-4.087419701	-4.313071559	0.105363757	0.253385132	-0.148656873
A	dnaA	BSU00010	0	1.230834947	0.222154777	-1.063716603	-1.57594783	-2.17923147	-2.974950453	-2.756101113	-3.597676888	1.605595417	1.615752482	1.683966667
A	dnaN	BSU00020	0	0.795789343	-0.4745829	-1.67338674	-2.24088389	-2.711970507	-3.130421725	-3.303829863	-3.559073047	1.462890707	1.493103532	1.50215824
A	flgB	BSU16180	0	0.75688203	-0.472386493	-2.38814021	-2.733950929	-3.251695044	-3.700059026	-3.334059604	-4.212187206	-1.711949563	-1.312153098	-1.53888798
A	flgC	BSU16190	0	0.657225153	-0.730660597	-2.374046967	-2.946701614	-3.390573794	-4.059905826	-3.703998515	-4.342780856	-1.968109668	-1.521197398	-1.828079927
A	flgE	BSU16290	0	0.163045477	-1.639542257	-3.082817471	-3.597346095	-4.080351115	-3.552669352	-4.249769145	-4.526791264	-2.63674052	-1.848060965	-2.49702131
A	flhA	BSU16390	0	-0.443135437	-2.303718093	-3.913315862	-4.389863569	-4.69982751	-4.85856518	-5.142103966	-5.242696283	-2.296273607	-1.581835872	-2.280330357
A	flhB	BSU16380	0	-0.112180297	-2.101277693	-3.678728871	-4.289408424	-4.535313133	-4.676366623	-5.147792687	-5.294312204	-2.226282375	-1.47344752	-2.052990707
A	flhF	BSU16400	0	-0.532496157	-2.162826513	-3.818027877	-4.4333425	-4.837625771	-4.936449728	-4.892105015	-5.144421248	-2.519831843	-1.826424778	-2.441340643
A	fliE	BSU16200	0	0.6937689	-0.66273519	-2.388358239	-2.973195537	-3.320455577	-3.879359106	-3.315232587	-3.709108674	-2.231600492	-1.638844177	-1.967086617
A	fliF	BSU16210	0	0.551888107	-0.90278996	-2.525285007	-2.94306654	-3.388960966	-4.166225896	-3.650692439	-4.121618676	-2.208612078	-1.601488288	-2.047021433
A	fliG	BSU16220	0	0.302543497	-1.30975068	-2.64748011	-3.07457534	-3.573141634	-3.998442379	-3.883057001	-4.361471003	-2.331292193	-1.691598143	-2.320450433
A	fliH	BSU16230	0	0.446089467	-1.18919331	-2.724270506	-3.11411338	-3.811627509	-4.086342607	-3.668512639	-4.334988661	-2.25008606	-1.518720075	-2.086519703
A	fliI	BSU16240	0	0.226515617	-1.365307187	-3.014479552	-3.529885624	-4.017478065	-4.499870981	-4.819777321	-5.171883269	-2.304462078	-1.572502043	-2.25172069
A	fliJ	BSU16250	0	0.512498513	-0.997731223	-2.596310903	-2.993740767	-3.58033135	-3.595929967	-3.37514709	-3.381843	-2.12563296	-1.536808985	-1.945169763
A	fliK	BSU16270	0	0.359909543	-1.212694173	-2.882186243	-3.433868647	-3.891848636	-3.855225835	-3.701400372	-3.940583395	-2.486126333	-1.576770103	-2.159981287
A	fliL	BSU16300	0	0.02818172	-1.700215303	-3.148799193	-3.726071313	-4.396237733	-4.155297872	-4.07296016	-4.021906693	-2.759389683	-1.979224908	-2.567921993
A	fliM	BSU16310	0	-0.11194046	-1.90125056	-3.489448513	-4.148536371	-4.855957561	-5.03849298	-5.195630175	-5.387794612	-2.817151303	-1.978553163	-2.64853612
A	fliP	BSU16350	0	-0.012379677	-1.882502417	-3.408293804	-3.911780546	-4.464339529	-4.609449525	-4.822405329	-4.948879523	-2.692639097	-2.020366607	-2.661694917
A	fliQ	BSU16360	0	-0.398001117	-2.16791964	-3.542110533	-4.135589715	-4.478358984	-4.643416935	-5.161910409	-5.430803408	-2.465116232	-1.649940582	-2.39384808
A	fliR	BSU16370	0	-0.20888358	-2.158947393	-3.543576453	-4.113730481	-4.505709167	-4.750092728	-5.249888845	-5.493169452	-2.290999188	-1.608394543	-2.332695783
A	fliY	BSU16320	0	-0.268534573	-1.99539182	-3.565837793	-4.316281165	-4.992240396	-5.458932424	-5.512071499	-5.902647088	-2.783467163	-1.907791698	-2.596295413
A	fliZ	BSU16340	0	-0.057699137	-1.931845847	-3.375259231	-3.959347955	-4.5036399	-4.665549463	-4.982742503	-5.180923048	-2.777644795	-2.05630409	-2.776286247
A	ftsE	BSU35260	0	0.682727637	-0.760314377	-2.215199874	-2.846168401	-2.881100124	-4.239791635	-3.930141449	-4.187209727	0.675176518	0.573214063	0.54109839
A	ftsX	BSU35250	0	0.548756877	-0.738810037	-1.991991699	-2.790171375	-2.867628748	-3.704865633	-3.451783147	-3.485299318	0.821647708	0.424847708	0.5449917
A	med	BSU11300	0	-1.108628747	-1.531105453	-1.384666667	-1.28065031	-1.81642503	-2.003055782	-2.480551923	-2.417982093	-0.426148078	-0.736960253	-0.31301958
A	metS	BSU00380	0	-0.18960471	-0.470637053	0.015493367	-0.459498517	-1.26995874	-1.201807233	-1.043271003	-2.005187055	0.37789157	0.492020385	0.447481783
A	nfrA	BSU38110	0	-0.354417533	-0.69034244	0.260346533	0.603086557	0.637552977	0.920026087	0.518535503	0.986275592	0.657704402	0.546701617	0.92721506
A	pdxS	BSU00110	0	0.253402477	-0.559423543	-0.920672617	-1.55870669	-1.8390803	-2.205221521	-1.87457757	-1.984788415	-0.40821611	-0.254197705	-0.419397027
A	pdxT	BSU00120	0	0.118899197	-0.798889097	-0.89658612	-1.445262697	-1.58829727	-2.210482114	-1.92348042	-2.171158115	-0.512731725	-0.56442131	-0.602279493
