LocusTag,Gene,Length,description,pI,mw,proteinLength,function,product,essential,ec,names,,,
BSU17890,tkt,2001,transketolase,4.8,72.1632,667,pentose phosphate pathway,transketolase,no,2.2.1.1,"tkt,tktA",,,
BSU20290,yorQ,153,unknown,8.59,5.8183,51,unknown,unknown,no,,yorQ,,,
BSU21700,ypoP,423,similar to transcriptional regulator (MarR family),9.26,16.7242,141,unknown,unknown,no,,ypoP,,,
BSU39850,yxbF,1140,unknown,6.89,44.1239,380,unknown,unknown,no,,"yxbF,yxaT",,,
BSU15640,yloA,1716,fibronectin-binding protein,8.98,65.3006,572,unknown,fibronectin-binding protein,no,,yloA,,,
BSU02950,niaP,1200,nicotinate transporter,9.5,43.5487,400,uptake of niacin,nicotinate transporter,no,,"niaP,yceI",,,
new_4047463_4047537,S1517,75,"new RNA feature, intergenic region",,,,,intergenic region,,,S1517,,,
BSU01650,ybbC,1242,unknown,7.37,45.8739,414,unknown,unknown,no,,"ybbC,yzbB",,,
BSU00390,yabD,765,putative metal-dependent hydrolase,4.81,29.0812,255,unknown,putative metal-dependent hydrolase,no,,yabD,,,
BSU17540,ynaF,351,unknown,4.01,13.4261,117,unknown,unknown,no,,ynaF,,,
new_4164565_4165231,S1559,667,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1559,,,
new_2195060_2195563_c,S777,504,"new RNA feature, intergenic region
",,,,,intergenic region,,,S777,,,
BSU05344,ydzS/2,111,part of the ydzS pseudogene,,,37,unknown,unknown,-,,ydzS/2,,,
BSU07180,yezB,297,split paralog of [[protein|RsbR]] (with [[protein|YetI]]),,,99,possible stressosome protein,split paralog of [[protein|RsbR]] (with [[protein|YetI]]),no,,yezB,,,
BSU29780,ytxG,429,general stress protein,9.98,15.6007,143,unknown,unknown,no,,"ytxG,csb40",,,
BSU05810,gmuB,309,"glucomannan-specific permease of the [SW|phosphotransferase systems|phosphotransferase system], EIIB of the [[category|Phosphotransferase system|PTS]]",4.72,11.3038,103,glucomannan uptake and phosphorylation,"glucomannan-specific lichenan-specific [[category|Phosphotransferase system|PTS]], EIIB component",no,,"gmuB,ydhM",,,
BSU33870,yvbI,696,unknown,7.76,25.606,232,unknown,unknown,no,,yvbI,,,
BSU16770,dapA,870,dihydrodipicolinate synthase,4.93,30.8892,290,biosynthesis of lysine and peptidoglycan,dihydrodipicolinate synthase,yes,4.2.1.52,dapA,,,
BSU08730,perR,435,"transcriptional repressor of the peroxide regulon, sensor of the intracellular Fe/Mn ratio",5.89,16.2815,145,regulation of the response to peroxide,transcriptional repressor ([SW|Fur family]),no,,"perR,ygaG",,,
BSU24360,spoIIIAH,654,"component of the [[protein|SpoIIIA]]-[[protein|SpoIIQ]] type III secretion system residing in the forespore membrane, required for [[protein|SigG]] activation",4.63,23.5849,218,"activation of [[protein|SigG]], forespore encasement by the spore coat",part of the transmembrane channel linking the mother cell and the forespore,no,,spoIIIAH,,,
new_3582691_3582779_c,S1330,89,"new RNA feature, 5'UTR of yvcA
",,,,,5'UTR of yvcA,,,S1330,,,
new_1603712_1603778,S563,67,"new RNA feature, 5'UTR of spoIIGA
",,,,,5'UTR of spoIIGA,,,S563,,,
BSU02710,yczC,381,unknown,10.13,13.8097,127,unknown,unknown,no,,yczC,,,
new_1369127_1369854_c,S464,728,"new RNA feature, 3'UTR of ykgB
",,,,,3'UTR of ykgB,,,S464,,,
new_1041710_1041809_c,S336,100,"new RNA feature, 5'UTR of yheN
",,,,,5'UTR of yheN,,,S336,,,
BSU40480,yycB,1206,similar to permeases,10.5,43.0244,402,unknown,unknown,no,,yycB,,,
