Class	Gene	LocusTag	t0	t1	t2	t	t4	t5	t6	t7	t8	g135	g150	g180	
A	abn2	BSU39330		0	1.13688426	2.348014373	0.629820693	0.729154153	0.45420917	0.921020404	0.458487113	0.105944116	-3.12189808	-2.823357745	-3.01048637
A	bacA	BSU37740		0	4.44760607	3.486994857	2.536654277	1.21799083	0.622547954	-0.996861524	-0.925994052	-0.489920911	-1.678174907	-1.701697212	-1.777702478
A	bacB	BSU37730		0	3.332122554	2.795833457	1.952934451	0.663846717	0.033939405	-0.951020983	-1.59392912	-1.998127013	-2.222506939	-1.360089467	-1.77620632
A	bacC	BSU37720		0	3.726930543	2.950258053	2.279105887	1.038765863	0.311720758	-0.79679715	-1.18900192	-1.66621487	-1.904189312	-0.936868773	-1.305813197
A	bacD	BSU37710		0	3.19589393	2.455954527	1.615415867	0.38029455	-0.350041015	-1.245785418	-1.839657124	-2.196237049	-1.487273667	-0.918990024	-1.261314373
A	bacE	BSU37700		0	2.723834015	1.893617535	0.923054708	-0.422437175	-1.112428376	-1.99610002	-2.413119455	-2.585602293	-1.190024783	-0.712125526	-1.028128439
A	bacF	BSU37690		0	2.449956756	1.657545352	0.584851798	-0.622133084	-1.145840395	-1.542394918	-2.136438661	-2.298277942	-1.151161492	-0.852092812	-0.901972861
A	bsaA	BSU21900		0	1.6230368	2.044198883	0.60405539	-0.013724537	-0.2701886	-1.706053243	-1.393656568	-1.615156072	-0.665022801	-0.422888788	-0.340815366
A	ccdA	BSU17930		0	0.957717595	2.081821438	2.282629491	1.908631848	1.604276331	0.865373481	0.688204461	-0.344878563	1.206785563	0.911087795	1.119974781
A	citG	BSU33040		0	0.280132343	0.599766797	-0.453217347	-0.818410903	-1.284829363	-2.367859911	-1.421128373	-2.833244078	-1.051004212	-0.987772242	-1.022645783
A	cwlS	BSU19410		0	0.554069767	1.473107933	-0.135024037	-0.549300243	-1.55638042	-2.917115488	-3.123835686	-4.065042718	-4.075371436	-3.473990023	-3.744596776
A	dacC	BSU18350		0	0.450737177	1.79485694	0.86584709	0.568456133	0.315190707	0.227933006	0.138980423	0.071292597	-3.316058424	-2.881879985	-3.190533207
A	epsA	BSU34370		0	0.073367038	1.728238166	2.650091323	2.271368646	0.846248576	-1.895654027	-2.169148823	-2.10729938	-1.949572987	-1.046349566	-1.861515118
A	epsB	BSU34360		0	0.012363073	1.803261773	2.743049193	2.082836929	1.026993869	-0.684057992	-1.645132837	-1.637520756	-1.832784882	-1.154810904	-1.795203965
A	epsC	BSU34350		0	0.04614399	1.639217968	1.908723418	0.835507684	-0.403129988	-1.978988455	-2.227185502	-2.23670886	-1.395195663	-0.645614064	-0.981525279
A	epsD	BSU34340		0	-0.538691822	1.109505019	1.501700679	0.452610966	-1.202221624	-2.782175693	-2.935178874	-3.017144859	-2.031935379	-1.263823112	-1.6185158
A	epsE	BSU34330		0	-0.796901115	0.773366913	1.151850187	0.256626273	-1.494334758	-2.935275258	-3.036228376	-3.106819269	-2.249395291	-1.374493246	-1.798589715
A	epsF	BSU34320		0	-0.996207806	0.401743124	0.766798266	-0.289644609	-1.801176084	-2.5620633	-2.702499132	-2.765646468	-2.003406134	-1.474792379	-1.748438661
A	epsG	BSU34310		0	-1.121254087	0.140529803	0.547856942	-0.508789899	-2.06228234	-2.790114806	-3.026367223	-3.049009106	-2.096602415	-1.358346374	-1.791881101
